Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-MKF-Combined0-notf,MiniCNN,20,0.24751623184676028,0.8999742312317471,0.9000556387746657,0.8998934385327295,0.8999640908031956,0.9622545908733784,0.9009334020500487,14,140000,0.35,42,Yes
144-TEST-MKF0-notf,MiniCNN,20,0.2858649202837394,0.8859302525339289,0.8866243924680461,0.8856897449626752,0.8858612556412415,0.950216006929656,0.8853003493099697,16,140000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,MiniCNN,20,0.24532989976798003,0.9016348851858215,0.9020605080400128,0.901454280466135,0.9015977862141609,0.9631323076275231,0.9020786806390655,15,140000,0.35,42,Yes
144-TEST-GASF0-notf,MiniCNN,20,0.24194081176086005,0.9027658477924755,0.9036567623175389,0.9025034127070555,0.9026963251407378,0.9644798823241444,0.9026226879688484,18,140000,0.35,42,Yes
144-TEST-GADF0-notf,MiniCNN,20,0.23651789281612787,0.9054715684590277,0.9058319582214294,0.9053073766503196,0.9054410069037041,0.9653318722840535,0.9051279848823226,20,140000,0.35,42,Yes
144-TEST-RPLOT0-notf,MiniCNN,20,0.24328883526498798,0.900919086067686,0.9010186197523378,0.9008308013072406,0.9009074826170873,0.9633053342160476,0.9014487774151062,20,140000,0.35,42,Yes
144-TEST-CWT0-notf,MiniCNN,30,0.27815935434773564,0.877,0.8769295694645007,0.8772117339994556,0.8770230076492106,0.9521649973579286,0.886,4,140000,0.35,42,Yes
144-TEST-CWT0-notf,MiniCNN,30,0.2629771233554099,0.8906,0.8922226423441776,0.8903841313622343,0.8904716216478753,0.9594552852123881,0.887,21,140000,0.35,42,Yes
144-TEST-DeepInsight0-notf,MiniCNN,30,0.285321282222867,0.873,0.8728770839084461,0.873096507662007,0.8730186772366614,0.9508379569582552,0.8755,8,140000,0.35,42,Yes
144-TEST-DeepInsight0-notf,MiniCNN,30,0.28649279589106325,0.8794,0.8811726339724324,0.8791700128213928,0.8792413526562617,0.9489789207852971,0.8775,30,140000,0.35,42,Yes
144-TEST-BERT0-notf,MiniCNN,20,0.4400863964110613,0.7825,0.7878663202630695,0.7804378632848152,0.7810850357977343,0.8593412235192391,0.7925,19,140000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,MiniCNN,50,0.24383872051487912,0.9025081601099467,0.9029146582747805,0.9023321439822201,0.9024729043889722,0.9631642115416443,0.9019927847448892,18,140000,0.35,42,Yes
144-TEST-MKF0-notf,MiniCNN,50,0.2900962070749575,0.8868321594227796,0.8871305348603384,0.8866744167356626,0.8867988111893315,0.9501766415236952,0.8855723529748611,20,140000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,MiniCNN,50,0.25374641893738575,0.9011195098207639,0.9014091851604441,0.9009706351002449,0.9010924913942627,0.9624588539781497,0.9018353089388994,26,140000,0.35,42,Yes
144-TEST-GASF0-notf,MiniCNN,50,0.23994718584481067,0.9048559812174312,0.9049918529020459,0.9047551393448872,0.9048420752860222,0.9652100516744693,0.9059869438240852,44,140000,0.35,42,Yes
144-TEST-GADF0-notf,MiniCNN,50,0.23940922563806885,0.9060155757888106,0.9062030015106799,0.9058978302731118,0.9059979185160367,0.965287123830494,0.9050850369352345,21,140000,0.35,42,Yes
144-TEST-RPLOT0-notf,MiniCNN,50,0.24375825839956383,0.9008761381205979,0.9015082581831974,0.9006548550579896,0.900823427369865,0.9638611352129565,0.9021359445685163,25,140000,0.35,42,Yes
